,p,p|f=0,p|f=1,std,H,IG,IG ratio
"SB_(387.333, 581]",0.006024096385542169,0.3621212121212121,0.25,0.07738091914857988,0.053092652126686124,0.00024899706595493676,0.004689859255114939
"CS_(2.812, 65.667]",0.8878012048192772,0.31543624161073824,0.3672603901611535,0.3156108767782168,0.5065127709086701,0.0008511891581725051,0.0016804890361313003
"CS_(65.667, 128.333]",0.10504518072289157,0.36769036600757254,0.30824372759856633,0.3066116284973359,0.48478740019500066,0.0010605701775215914,0.002187701613315421
"CS_(128.333, 191]",0.007153614457831325,0.3610163064087979,0.42105263157894735,0.08427597675506247,0.06126809223914111,7.836781423387063e-05,0.0012790966940505674
"RA_(138.888, 510.667]",0.07379518072289157,0.3654471544715447,0.3112244897959184,0.26143728124537724,0.37992951944782005,0.000641189340454984,0.0016876533873621412
"RA_(510.667, 881.333]",0.8723644578313253,0.3687315634218289,0.3603798014674148,0.3336835485066499,0.5509178078593446,2.421398632879157e-05,4.395208501768682e-05
"RA_(881.333, 1252]",0.053840361445783136,0.3565459610027855,0.44755244755244755,0.22570240788518475,0.30249179381401925,0.0012838628965315957,0.004244290003189151
"ER_(55.033, 378.333]",0.07868975903614457,0.36125868410298323,0.36363636363636365,0.2692539337855403,0.3975455648781104,1.2799347777203707e-06,3.219592647481316e-06
"ER_(378.333, 700.667]",0.7515060240963856,0.4196969696969697,0.34218436873747493,0.43213969945289243,0.8088823951814841,0.0034603299194406745,0.00427791473773428
"ER_(700.667, 1023]",0.16980421686746988,0.3442176870748299,0.44567627494456763,0.37546071006363874,0.6572567138133616,0.004437367367871592,0.006751345820609833
"ERA_(1.605, 3.31]",0.23343373493975902,0.3786836935166994,0.30483870967741933,0.4230158700708794,0.783949216783618,0.003105757607084869,0.003961682135262731
"ERA_(3.31, 5.01]",0.7153614457831325,0.328042328042328,0.37473684210526315,0.45124211646320667,0.8616944355540331,0.0013999180435764202,0.0016246107504179624
"ERA_(5.01, 6.71]",0.05120481927710843,0.35753968253968255,0.4338235294117647,0.22041525754790384,0.29149306359617594,0.000863274804890124,0.0029615620839817786
"CG_(-0.148, 49.333]",0.5436746987951807,0.37458745874587457,0.35041551246537395,0.4980888682606211,0.9944891577044959,0.0004527261439323249,0.00045523487151666737
"CG_(49.333, 98.667]",0.3230421686746988,0.3604004449388209,0.36363636363636365,0.46763867027079314,0.9076590744607853,7.153557032513191e-06,7.881325966760062e-06
"CG_(98.667, 148]",0.13328313253012047,0.35534317984361424,0.4011299435028249,0.3398804776875084,0.566373926576678,0.0007476752458507319,0.001320108872895844
"SHO_(-0.032, 10.667]",0.59375,0.30120481927710846,0.40266328471781865,0.4911323014219285,0.9744894033980523,0.007841761320828144,0.008047046272113232
"SHO_(10.667, 21.333]",0.3810240963855422,0.39659367396593675,0.30434782608695654,0.48563848113500074,0.9587620995836234,0.006343254626457129,0.0066160882133450135
"SHO_(21.333, 32]",0.025225903614457833,0.3642332947083816,0.2537313432835821,0.15681057809117932,0.16985341713304733,0.0009898287283938156,0.00582754674648951
"SV_(-0.068, 22.667]",0.4555722891566265,0.3326417704011065,0.3958677685950413,0.4980222670817136,0.994297237014363,0.0030948423791564705,0.0031125927579257313
"SV_(22.667, 45.333]",0.4503012048192771,0.3582191780821918,0.36538461538461536,0.49752389867983554,0.9928613903675169,3.9709882782346106e-05,3.999539428927448e-05
"SV_(45.333, 68]",0.09412650602409639,0.38071487946799665,0.176,0.29200463504504787,0.4500955977809752,0.012373709175558134,0.027491291264704634
"IPouts_(232.719, 1664]",0.009036144578313253,0.36056231003039513,0.4583333333333333,0.09462818115906312,0.07433344019915997,0.00025940169344385033,0.003489703863413842
