,p,p|f=0,p|f=1,std,H,IG,IG ratio
"2B_(133.333, 254.667]",0.5945030120481928,0.6248839368616528,0.6250791640278658,0.49098796391950744,0.9740754424510567,2.827806944161182e-08,2.9030676895473295e-08
"2B_(254.667, 376]",0.3704819277108434,0.6261961722488039,0.6229674796747967,0.4829338142546025,0.9510414109805664,7.480556998507026e-06,7.865648027664995e-06
"3B_(2.853, 52]",0.6641566265060241,0.5818385650224215,0.6468253968253969,0.47228445027776156,0.9207854485561198,0.0028808073902905074,0.003128641308143923
"3B_(52, 101]",0.3204066265060241,0.6426592797783933,0.5875440658049353,0.4666328537480484,0.9048231009411315,0.002023298281828234,0.0022361258015226905
"3B_(101, 150]",0.015436746987951807,0.6275334608030593,0.4634146341463415,0.12328200935409596,0.1149881656821862,0.0012139991275654793,0.010557600604925124
"HR_(-0.264, 88]",0.3851656626506024,0.6350275566442131,0.6089931573802542,0.48663443668272044,0.9616088101038076,0.0004930441323772738,0.0005127283851778029
"HR_(88, 176]",0.4954819277108434,0.6134328358208955,0.6367781155015197,0.49997958660609243,0.9999410997964511,0.00041939368730459226,0.0004194183911332022
"HR_(176, 264]",0.11935240963855422,0.6246259085079093,0.6277602523659306,0.3242027327954297,0.5274965176148012,3.1807594222943436e-06,6.02991548963563e-06
"BB_(3.169, 281]",0.04631024096385542,0.6249506514015002,0.6260162601626016,0.2101561384916582,0.27051137284749266,1.5440545841904907e-07,5.707910051755897e-07
"BB_(281, 558]",0.7097138554216867,0.6083009079118028,0.6318302387267904,0.4538943696986818,0.8690905914152223,0.00034987831380395296,0.00040257979692797394
"BB_(558, 835]",0.24397590361445784,0.6314741035856574,0.6049382716049383,0.4294783604210558,0.8015897859393994,0.000397922988825683,0.0004964172395976191
"SO_(-1.535, 511.667]",0.22326807228915663,0.6286960736791081,0.612141652613828,0.41643659803796124,0.7660901688809616,0.00014581184403006375,0.00019033248298049968
"SO_(511.667, 1023.333]",0.5865963855421686,0.6329690346083788,0.6193838254172015,0.4924439724588281,0.9782531597476068,0.0001378676893921682,0.00014093252653304858
"SO_(1023.333, 1535]",0.1901355421686747,0.6173872617387262,0.6574257425742575,0.3924079736357284,0.7017549175002461,0.000767054599388084,0.00109305197620908
"SB_(-0.581, 193.667]",0.8957078313253012,0.5631768953068592,0.632198402690206,0.3056391863420622,0.4824556268548237,0.0013470495833282081,0.002792069380783801
"SB_(193.667, 387.333]",0.09826807228915663,0.631732776617954,0.5632183908045977,0.2976767680853352,0.46348134667142604,0.001258896393812159,0.0027161748856845
"SB_(387.333, 581]",0.006024096385542169,0.6253787878787879,0.5625,0.07738091914857988,0.053092652126686124,7.149287638807955e-05,0.0013465681883340099
"CS_(2.812, 65.667]",0.8878012048192772,0.5503355704697986,0.6344359626802375,0.3156108767782168,0.5065127709086701,0.0021270605610377302,0.004199421383239443
"CS_(65.667, 128.333]",0.10504518072289157,0.6331510307109802,0.5555555555555556,0.3066116284973359,0.48478740019500066,0.0017104931735645312,0.0035283366953771968
"CS_(128.333, 191]",0.007153614457831325,0.6260902540766022,0.47368421052631576,0.08427597675506247,0.06126809223914111,0.0004897049099013007,0.007992821254983564
"RA_(138.888, 510.667]",0.07379518072289157,0.6321138211382114,0.5357142857142857,0.26143728124537724,0.37992951944782005,0.001909663465364364,0.005026362437274736
"RA_(510.667, 881.333]",0.8723644578313253,0.6342182890855457,0.623651273198101,0.3336835485066499,0.5509178078593446,3.837517567772952e-05,6.96568074770368e-05
"RA_(881.333, 1252]",0.053840361445783136,0.6167926780740152,0.7692307692307693,0.22570240788518475,0.30249179381401925,0.0038993299893007594,0.012890696769440895
"ER_(55.033, 378.333]",0.07868975903614457,0.63342868818962,0.5263157894736842,0.2692539337855403,0.3975455648781104,0.0024966552922390806,0.006280173929256559
"ER_(378.333, 700.667]",0.7515060240963856,0.696969696969697,0.6012024048096193,0.43213969945289243,0.8088823951814841,0.005382496856346175,0.006654239093853114
"ER_(700.667, 1023]",0.16980421686746988,0.5941043083900227,0.7760532150776053,0.37546071006363874,0.6572567138133616,0.015286056020712535,0.023257360023032417
"ERA_(1.605, 3.31]",0.23343373493975902,0.6522593320235757,0.535483870967742,0.4230158700708794,0.783949216783618,0.007383165586824947,0.009417913085131398
"ERA_(3.31, 5.01]",0.7153614457831325,0.5753968253968254,0.6447368421052632,0.45124211646320667,0.8616944355540331,0.0029859916614056736,0.003465255824108702
"ERA_(5.01, 6.71]",0.05120481927710843,0.6178571428571429,0.7573529411764706,0.22041525754790384,0.29149306359617594,0.0030918604031364705,0.01060697762407075
"CG_(-0.148, 49.333]",0.5436746987951807,0.6097359735973598,0.6378116343490304,0.4980888682606211,0.9944891577044959,0.000601459745943167,0.0006047926629300525
"CG_(49.333, 98.667]",0.3230421686746988,0.6290322580645161,0.6165501165501166,0.46763867027079314,0.9076590744607853,0.00010470572625731478,0.00011535798980417565
"CG_(98.667, 148]",0.13328313253012047,0.629887054735013,0.5932203389830508,0.3398804776875084,0.566373926576678,0.00047379689655668855,0.0008365443293275332
"SHO_(-0.032, 10.667]",0.59375,0.5625579240037072,0.667723525681674,0.4911323014219285,0.9744894033980523,0.00817491663335601,0.008388923065607498
"SHO_(10.667, 21.333]",0.3810240963855422,0.6618004866180048,0.5652173913043478,0.48563848113500074,0.9587620995836234,0.006731778956365675,0.007021323599763893
"SHO_(21.333, 32]",0.025225903614457833,0.6276554654306682,0.5223880597014925,0.15681057809117932,0.16985341713304733,0.0008158464949439281,0.004803238631960346
"SV_(-0.068, 22.667]",0.4555722891566265,0.6203319502074689,0.6305785123966943,0.4980222670817136,0.994297237014363,8.017486503908433e-05,8.06347056538448e-05
"SV_(22.667, 45.333]",0.4503012048192771,0.6068493150684932,0.6471571906354515,0.49752389867983554,0.9928613903675169,0.0012400071495466403,0.0012489227213152484
"SV_(45.333, 68]",0.09412650602409639,0.6388196176226102,0.492,0.29200463504504787,0.4500955977809752,0.005489534687788344,0.012196374980898287
"IPouts_(232.719, 1664]",0.009036144578313253,0.625,0.625,0.09462818115906312,0.07433344019915997,0.0,0.0
"IPouts_(1664, 3091]",0.047063253012048195,0.6282101935993678,0.56,0.2117741797952995,0.27378839165757896,0.0006302802840333355,0.002302070881155593
"IPouts_(3091, 4518]",0.9439006024096386,0.5704697986577181,0.6282409254088552,0.23011357017863848,0.3117623095097456,0.0005353053336645264,0.0017170303058965275
"HA_(145.154, 762.333]",0.017319277108433735,0.6252873563218391,0.6086956521739131,0.13045811492151446,0.12611216151182053,1.4340952940505858e-05,0.0001137158602991804
"HA_(762.333, 1377.667]",0.42055722891566266,0.6790123456790124,0.5505819158460161,0.4936485046289997,0.9817124568894782,0.012329026888939554,0.012558694557063732
"HA_(1377.667, 1993]",0.5621234939759037,0.5528804815133276,0.681178834561286,0.49612566099349253,0.9888355026179251,0.012446274355726317,0.01258679964743885
"HRA_(-0.241, 80.333]",0.3429969879518072,0.633810888252149,0.6081229418221734,0.47471049515236646,0.9276577843522114,0.0004564413272222234,0.000492036325163766
"HRA_(80.333, 160.667]",0.47853915662650603,0.6411552346570397,0.6073957513768686,0.499539219883379,0.9986706739039934,0.0008750886332389296,0.0008762534598297974
"HRA_(160.667, 241]",0.17846385542168675,0.6076993583868011,0.7046413502109705,0.3829027392559531,0.676704976175281,0.004356952168721007,0.0064384810546929735
"BBA_(4.178, 279]",0.047063253012048195,0.6254444883445278,0.616,0.2117741797952995,0.27378839165757896,1.2275607919498555e-05,4.483611538524023e-05
"BBA_(279, 553]",0.6961596385542169,0.6641883519206939,0.6078961600865332,0.4599145531533914,0.8859347899487594,0.002081371795907727,0.002349351012649711
"BBA_(553, 827]",0.2567771084337349,0.6084093211752786,0.6730205278592375,0.43685538226987086,0.8218439368546753,0.002483594059801142,0.003021977711858827
"SOA_(-1.45, 483.333]",0.19728915662650603,0.6214821763602252,0.6393129770992366,0.3979524410078749,0.716473164129987,0.00015558479737975972,0.00021715369837848188
"SOA_(483.333, 966.667]",0.5429216867469879,0.6260296540362438,0.624133148404993,0.4981543222805455,0.9946777810458465,2.747228829091952e-06,2.7619284168621914e-06
"SOA_(966.667, 1450]",0.25978915662650603,0.6281790437436419,0.6159420289855072,0.4385188145630678,0.8264280402645461,8.8445661958092e-05,0.00010702161307326874
